stitch_id,drug_name,smiles
CID100002522,calcipotriol,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C
CID100002524,"1,25(OH)2D3",
CID100002540,candesartan,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
CID100002541,candesartan,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
CID100002547,capreomycin,CC1C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)NC(C(=O)NCC(C(=O)N1)N)C2CCN=C(N2)N)CNC(=O)CC(CCCN)N.C1CN=C(NC1C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CNC(=O)CC(CCCN)N)CO)N)N
CID100002548,capsaicin,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
CID100002550,captopril,CC(CS)C(=O)N1CCCC1C(=O)O
CID100002551,carbachol,C[N+](C)(C)CCOC(=O)N.[Cl-]
CID100002554,carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
CID100002559,carbenicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C
CID100002563,carbidopa,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
CID100002564,carbinoxamine,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
CID100002576,carisoprodol,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
CID100002578,BCNU,C(CCl)NC(=O)N(CCCl)N=O
CID100002583,carteolol,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
CID100002585,carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
CID100002609,cefaclor,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl
CID100002610,cefadroxil,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
CID100002617,cefazolin,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O
CID100002622,cefepime,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
CID100002631,cefotaxime,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O
CID100002637,cefoxitin,COC1(C2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3
CID100002646,cefprozil,CC=CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
CID100002650,ceftazidime,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
CID100002654,cephem,
CID100002655,ceftizoxime,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=CCS3)C(=O)O
